word,meaning,synonym,antonym,example,Type,
abandon,বর্জিত করা,"Discurd, Divest, give up",Acquire,They abandoned the car on a back road.,verb,This is a change
ability,ক্ষমতা,"Power, Authority, Capability",Disability,He has the ability to do the work.,noun,
able,সক্ষম,Capable,Unable,I'm able to run.,adjective,
about,সম্পর্কিত,In relation to,Reversely,Tell me about yourself.,adverb,
above,উপরে,Upon,Under,Temperatures were above average all week.,adverb,
abroad,বিদেশে,"Expats, Oversea",country,I study abroad.,adverb,
absence,অনুপস্থিতি,Default,present,Tom applied for a leave of absence.,noun,
abstract,বিমূর্ত,Essance,Reality,The theory is too abstract for me.,"adjective
",
abuse,অপব্যবহার,Misbehaviour,Useful,He abused our trust.,noun,
access,প্রবেশ,Entrance,Notpermit,You had access to that door and didn't walk through it.,noun,
accompany,সঙ্গে থাকা,Stay with,"Friend, Consort",I will accompany you.,verb,
accountant,হিসাবরক্ষক,Calculator,,Tom is an accountant.,noun,
accurate,সঠিক,Exact,Wrong,It's accurate.,adjective,
Baby,শিশু,Children,adult,The baby name is Tom,adjective,
Back,পিছনে,Behind,front,I'll be back soon.,adjective,
Bad,খারাপ,"evil, evil, wicked, worsened, ill, poorly",Good,She is a bad girl,adjective,
Ban,নিষেধাজ্ঞা,"prohibition, inhibition, ban, embargo, taboo, interdict",Legal,The movie is ban in this situation,adjective,
bet,বাজি,"wager, betting, stake, feat, legerdemain",no bet,He is going to bet with him,noun,
beauty,সৌন্দর্য,"glory, glance, elegance, lovliness",ugly,we are amazed to see her beauty,adverb,
Beautiful,সুন্দর,"pretty, fine, polished, fairy, fair","not beautiful, shapeless",She is a beautiful girl,adjective,
Bin,আবর্জনা জড়ো করে রাখার পাত্র,"Rubish, recycle bin, trash bin, waste bin",not bin,We use bin to keep our dust,adjecive,
Brick,ইট,Brick,soil,we use brick to make building,noun,
book,বই,"book, treatise",NoteBook,He likes to read book,noun,
boy,ছেলে,"boy, lad, man-child",girl,The boy is going to school,noun,
both,উভয়,"too both, everything",nothing,I do both ,adverb,
Boring,বিরক্তিকর,"annoying, puzzling, repellent, bothersome, nagging",refresh,I am boring now,adjective,
Borrow ,ধার করা,"Lend, Loan",Cash,I have to borrow the money,noun,
Buy,কেনা,"purchase, buy, acquire",Sale,He will buy a shirt,noun,
But,কিন্তু,"As well as, However",no neverthless,I will do but nothing,conjunction,
Business,ব্যবসায়," merchandise, biz, pursuit, craft, occupation",job,He is a business man,noun,
Busy,ব্যস্ত,"engaged, impatient, worried, eager, excited",free time,She is very busy girl,adjective,
bust,বক্ষ,breast,back side,Bust is good,noun,
Break,বিরতি,"Interval, Intermission, Interregnum, recess",Coninue,No break in the meeting,noun,
Bring,আনা,"fetch, get",find out,He will bring the book,verb,
Brignt,উজ্জ্বল,"
 brilliant, light, dazzling, shiny, clear",Black,The boy is a bright,adjective,
Below,নিচে,Under,Upon,The book is below in the table,Adverb,
Before,আগে,"earlier on, in the past, since, of old, at first",After,He will go the before he will come,Preposition,
Because,কারণ," forasmuch as, from",no cause,I am here beacuse I have job,Conjunction,
Bill,বিল," pore, marsh, swamp, hole, cavity",Free pay,Pay to the bill,noun,
Cat,বিড়াল,"Gib, Felish",Dog,I have a cat,Noun,
Can,পারা,"be able, may, can, do, perform, execute",No can,I can do it,Verb,
Cause ,কারণ,"reason, cause, motive, sake, occasion, base",No cause,I will go there cause I have work,Verb,
Carry,বহন," carrying, carriage, bearing, conveyance, suffering",No carry,I have to carry the products,noun,
Call,কল,Invoke,go,I'll call you,noun,
Cab,ট্যাক্সি,"horse carriage, cab, cart, fiacre","Bus, Truck",I use to cab when I have ride,noun,
Catch,ধরা,"hold, apprehend, stop at, take, touch",fall down,I have to catch the ball,verb,
Cage,খাঁচা,"jail, prison, lockup, penitentiary, limbo, prison house",Free cage,The bird is in the cage,noun,
Certain,নির্দিষ্ট,"Specific, Define, Particular",Unspecific,I certainly can say it is true,verb,
Certificate,প্রশংসাপত্র,"Testimonial, Document",Unauthorized document,I have got a certificate,noun,
Consider,বিবেচনা," figure out, ponder, worry, consider, chew",not consider,Mr. Smith will consider about this decision.,verb,
Create,সৃষ্টি," make, generate, raise, hatch, originate",no create,Allah created us,verb,
Caption,শিরোনাম,"headline, Introduction",footer,News headline play to important role,noun,
Choose,পছন্দ,"like, taste, choice,pleasure, Option","Dislike, Loathing",I like to you,adjective,
Change,পরিবর্তন,"alternative, switch, variation, mutation","Constant, fixity",The product is changable,noun,
Cheap,সস্তা,"flexible, available,accessible, available, common",Costly,The dress is too cheap in the market,adjective,
City,শহর," town, metropolis, burg, capital",Village,The Dhaka is a mega city,noun,
Circumstance,এলাকা,"field, area, bounds, venue, ground, place",out side of area,The circumstances environment is really nice,noun,
Citizen,নাগরিক,"resident, inhabitant, denizen, native, citizen, son",non-resident,I am a citien of Bangladesh,noun,
Common,সাধারণ,"conventional, common, current, usual, accepted",Uncommon,It is a common thing in our society,adjective,
Commitment,প্রতিশ্রুতি,"promise, pledge, undertaking, plight, promising",breach of promise,I have commitment with a company,noun,
Daughter,কন্যা,"bride, virgin, child, marriageable girl",son,He has got for dauther in his family,noun,
Date,তারিখ,"longevity, life, age, date",No date,The meeting will be held in 3rd March,noun,
Damage,ক্ষতি,"harm, injure, damage, impair",Fresh,our products has damaged,noun,
Dark,অন্ধকার,"dismal, gloomy, shaded, obscure, darkling",Light,The area is dark at night,adjective,
Description,বিবরণ," story, statement, representation, announcement",Brief,Mr. Bean will description to us,noun,
Deal,লেনদেন,"amount, quantity, volume, extent, sum, deal",Do not trade,Mr. smith will deal our business,noun,
Display,প্রদর্শন,"show, showing, exhibition, parade, exposition",Do not show up,You can see on the display,noun,
Different,বিভিন্ন,"various, several, diverse, varied, variant",same,You look loke different for today,noun,
Difficult,কঠিন,"hard, solid, tenacious, stubborn, ticklish","Easy,simple, facile, soft, light, natural",It's to difficult work,adjective,
Draw,আঁকা,"paint, mark, trace, describe, write",Plain,he draws the splash,verb,
Down,নিচে,"beneath, down, to the underworld, under, below",Upon,He has fall down in exam,adjective,
Doubt,সন্দেহ,"suspicion, jealousy, mistrust, hesitation, misgiving","Undoubt, Certainly",I have dubt about him,noun,
Earn,আয় করা,"achieve, earn, acquire, attain, gain, get","loss, no gain",I have capability to earn money,verb,
Early,গোড়ার দিকে,"anon, Early, ere long",Lately,I will reach early,adjective,
Each,প্রতি,"Every, Each, ",No one,Each person has mendatory to attend the meeting,Adverb,
Every,প্রতি,"Every, Each,  entire, whole, all",No One,Every person has mendatory to attend the meeting,adverb,
Error,ভুল          ,"mistake, error, oversight, fault, boob, blunder",Right,Everyone has error something,noun,
Earring,কানের দুল ,"drum, tympan, proclamation by drumbeat,earring",No Earing,Girls like to use earring,noun,
Eraser,রবার,"rubbed, undo",Delete,Eraser use for delete something,noun,
Environment,পরিবেশ,"ambience, circumstances",Out side of area,Environment is good for today,noun,
Eventually,অবশেষে,"at last, in the end, in the long run",biginly,"Eventually, everything is good",noun,
Enough,যথেষ্ট,"sufficient, adequate, ample, enow, boundless",not enough,It's enough for us,adverb,
Enhance,বাড়ান,"improve, raise, promote, ennoble, ameliorate",Decrement,We need to enhance our business,verb,
Fair,সুন্দর ,"just, right, reasonable, legitimate, equitable","Unfair, Ugly, distorted",This election will be fair in the year,adverb,
Fast,দ্রুত,"express, fleet, nimble, tripping, fleeting, fast","Slow, weak",It will be fast just try do things.,adjective,
Fancy,অভিনব," novel, unprecedented, extraspecial,  new-fashioned",imagine,Try to use fancy to solve ny problems,adjective,
Feature,বৈশিষ্ট্য,"peculiarity, characteristic, landmark, prominence",Unfeature,It has some feature,noun,
Feedback,প্রতিক্রিয়া,"Feedback, recompose, recreation",No feedback,I will give feedback what did the do.,noun,
Feed,ভোজন,"Eat,pasture, feed, feeding, field, pasturage",hungry,The is feeding milk,noun,
Framework,ফ্রেমওয়ার্ক,Structure,No frame,We use framework when we work on Laptop,noun,
Free,বিনামূল্যে," gratis, for nothing, buckshee",paid,If you buy phone you will have free charger,adjective,
Freedom,স্বাধীনতা,"independence, liberty, independency, emancipation",Subsided,We have freedomity,noun,
Frequently,ঘনঘন," frequently, often, repeatedly, oft, fast",Lightly,You don't need to go frequently,adverb,
Further,অধিকতর,"more than, over, much, exceeding, superfluous","less, few",I want furthure information,adjective,
Funny,হাস্যকর,"more, funny, amusing, Facetious","no funny, sorrow, mourn",He is very funny person,adjective,
Gain,লাভ করা," profit, benefit, makings, reach, avail","loss, no gain",We have gained furture more knowledge,noun,
Gather,সংগ্রহ করা,"accrue, be saved, collect, settle, be accumulated",don't gather,You need gather some information,verb,
Gap,বিচ্ছেদ,"disconnect,dfference, differ",add relation,I have gap with her,noun,
Get,পাওয়া,"catch, hold, apprehend, stop at, take, get","not found, not get",I will get an award,noun,
Gender,লিঙ্গ,"sex, gender, penis, lingam, dick, dong",neutral,There are three genders. ,noun,
General,সাধারণ,"general, common, ordinary, usual, normal, simple",Technical,We have general idea about the work,adjective,
great,মহান," grand, high, eminent, illustrious, august",bad,He is a great person,adjective,
Ground,নিচে ,"playing field, field, ground, course, land, moor",uper,We are in ground floor,noun,
Give up,ছেড়ে দাও,"release, let go, let loose, cede, cession","connect, relation",You can give up him,verb,
Gift,উপহার,"present, offering, presentation, gratuity, outgiving","no gift, leave up",I will give her a gift,noun,
Glad,আনন্দিত,"happy, glad, pleased, delighted, gladsome, gleeful",sorrow,I am glad to meet with you,verb,
Good,ভাল," excellent, proper, honest, strong, helpful","bad, not good",He is a very good boy ,adjective,
Goodbye,বিদায়," Farewell, au revoir","Come in, Welcome ",Goodbye for today,noun,
Happy,খুশি,"blessed, blissful, glad, comfortable, satisfied","not happy, bad, sorrow",I am very happy today,adjective,
Hard,কঠিন,"difficult, hard, solid, tenacious, stubborn, ticklish","Easy,Simple, facile, soft, light, natural",I worked hard yesterday,adjective,
